epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.561,1.33281,1.13903,1.52934,0.71429,0.48302,0.56267,0.27307,1.81679,1.6229,1.93896,0.000647619,0.000647619,0.000647619
2,666.558,1.39638,1.26768,1.6173,0.77429,0.39773,0.47868,0.2752,1.81329,1.7274,1.9575,0.000989,0.000989,0.000989
3,1033.51,1.37285,1.33297,1.59078,0.90603,0.38636,0.53796,0.26461,1.86721,1.5684,1.95714,0.00100038,0.00100038,0.00100038
4,1411.34,1.3883,1.22639,1.59932,0.64784,0.54356,0.57423,0.30036,1.8251,1.47673,1.91174,0.000515,0.000515,0.000515
