epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.457,1.49025,2.33287,1.31218,0.74815,0.48303,0.55854,0.31568,1.40064,1.68487,1.28733,0.000552757,0.000552757,0.000552757
2,1120.01,1.42363,1.70316,1.30585,0.64589,0.52681,0.51409,0.29461,1.45892,2.07064,1.36121,0.000888956,0.000888956,0.000888956
3,1702.38,1.40419,1.60887,1.28629,0.74524,0.63533,0.6789,0.41487,1.29157,1.46253,1.27031,0.00100511,0.00100511,0.00100511
4,2272.64,1.32737,1.47981,1.24516,0.74647,0.65828,0.68974,0.43968,1.24491,1.41521,1.23365,0.000676802,0.000676802,0.000676802
5,2992.16,1.2666,1.38161,1.23166,0.82483,0.69466,0.73201,0.47466,1.19189,1.21921,1.18932,0.000346736,0.000346736,0.000346736
