epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.597,1.023,1.92456,1.31678,0.93328,0.85638,0.93232,0.74196,0.79758,1.19978,1.08317,0.000651163,0.000651163,0.000651163
2,642.809,0.93989,1.28296,1.28616,0.83697,0.87755,0.9273,0.71003,0.90496,1.12916,1.16193,0.0010569,0.0010569,0.0010569
3,797.149,0.97501,1.17685,1.29926,0.86455,0.91188,0.93312,0.68649,0.82208,1.64303,1.14404,0.00119864,0.00119864,0.00119864
4,935.407,1.04351,1.19045,1.34152,0.91378,0.91837,0.94291,0.65812,0.96197,1.30058,1.26022,0.000812,0.000812,0.000812
5,1073.87,0.94617,1.12772,1.30095,0.86977,0.97959,0.96734,0.7591,0.76593,0.93924,1.10269,0.000416,0.000416,0.000416
